message,label
"Buy now and save big!",spam
"Hello, how are you?",ham
"Win a free iPhone today!",spam
"Thanks for your email.",ham
"Exclusive offer just for you!",spam
"Meeting scheduled for tomorrow.",ham
"Get rich quick scheme!",spam
"Please review the document.",ham
"Congratulations, you won!",spam
"Reminder: appointment at 3 PM.",ham
"Cheap loans available!",spam
"Happy birthday!",ham
"Urgent: update your account.",spam
"See you soon.",ham
"Free trial offer!",spam
"Project update attached.",ham
"Invest in crypto now!",spam
"Thank you for your help.",ham
"Claim your prize!",spam
"Weekly report.",ham